13.545,0.000,673.320,38.347,0.000
13.541,0.000,673.320,38.334,0.000
13.536,0.000,673.320,38.397,0.000
13.531,0.000,673.320,38.344,0.000
13.526,0.000,673.320,38.448,0.000
13.625,0.243,674.479,38.908,0.000
13.625,0.385,675.377,39.812,0.000
13.629,0.469,675.879,41.237,0.000
13.678,0.586,676.242,42.810,0.000
13.688,0.658,676.422,45.127,0.000
13.699,0.703,676.465,47.526,0.000
13.710,0.733,676.432,49.992,0.000
13.723,0.752,676.346,52.951,0.000
13.735,0.902,676.373,55.163,0.000
13.751,0.944,676.523,58.471,0.000
13.767,0.970,676.577,60.922,0.000
13.785,0.979,676.512,64.464,0.000
13.804,0.966,676.294,68.255,0.000
13.821,0.927,675.900,71.366,0.000
13.837,0.857,675.298,75.543,0.000
13.852,0.876,674.867,78.635,0.000
13.867,0.877,674.502,82.803,0.000
13.882,0.862,674.139,86.479,0.000
31.877,20.159,694.541,71.560,0.000
35.705,41.089,734.967,71.045,0.000
38.626,61.727,791.313,71.135,0.000
41.720,82.216,861.112,73.433,0.000
46.107,103.237,941.706,73.370,0.000
49.611,123.322,1029.429,73.039,0.000
54.504,143.335,1120.750,72.647,0.000
58.320,161.787,1212.504,72.095,0.000
63.690,179.124,1298.286,71.242,0.000
67.739,192.789,1370.359,70.636,0.000
71.670,202.521,1423.806,70.280,0.000
75.872,208.049,1452.637,70.705,0.000
80.119,208.477,1449.234,69.973,0.000
86.789,204.917,1404.471,68.065,0.000
91.199,194.433,1313.949,66.984,0.000
94.820,199.144,1222.050,66.821,0.000
99.575,203.064,1129.789,66.667,0.000
105.474,206.074,1038.717,65.277,0.000
110.899,208.636,955.838,64.665,0.000
114.979,209.991,882.638,64.134,0.000
120.337,210.749,820.337,63.766,0.000
124.140,211.116,771.284,63.573,0.000
128.726,210.584,734.812,64.046,0.000
133.441,211.152,713.164,63.122,0.000
138.241,210.951,703.383,63.383,0.000
143.039,210.163,701.968,62.237,0.000
146.264,207.746,703.741,63.880,0.000
