epoch,F1,loss,precision,recall,val_F1,val_loss,val_precision,val_recall
98,"""[0.8969988]""",0.0516415610909462,0.8969994187355042,0.9323736429214478,"""[0.5394084]""",0.5207412242889404,0.5394088625907898,0.3395348787307739
99,"""[0.9069291]""",0.049692388623952866,0.9069295525550842,0.9380716681480408,"""[0.5434512]""",0.5400953888893127,0.5434516668319702,0.34418603777885437
100,"""[0.88051903]""",0.07821814715862274,0.8805195093154907,0.9149797558784485,"""[0.44278556]""",0.6937541961669922,0.4427860677242279,0.275968998670578
101,"""[0.86723506]""",0.03995305299758911,0.8672356009483337,0.9295246601104736,"""[0.7949461]""",0.20423361659049988,0.794946551322937,0.6341085433959961
102,"""[0.86947405]""",0.039354026317596436,0.8694745898246765,0.9379217028617859,"""[0.8184611]""",0.19235298037528992,0.818461537361145,0.6186046600341797
103,"""[0.8653496]""",0.0388370156288147,0.865350067615509,0.9395711421966553,"""[0.82243955]""",0.19964635372161865,0.8224400877952576,0.5852712988853455
104,"""[0.86221564]""",0.039099402725696564,0.8622161149978638,0.9392712712287903,"""[0.81354004]""",0.20259535312652588,0.813540518283844,0.5682170391082764
105,"""[0.8629793]""",0.03905705735087395,0.8629797697067261,0.9406207799911499,"""[0.79999954]""",0.20811939239501953,0.800000011920929,0.5550387501716614
106,"""[0.8672745]""",0.03918427228927612,0.8672749996185303,0.9406207799911499,"""[0.791523]""",0.21220484375953674,0.7915234565734863,0.5356588959693909
107,"""[0.86963093]""",0.04023968428373337,0.8696314692497253,0.9412205815315247,"""[0.7867128]""",0.2101844847202301,0.7867133021354675,0.5232558250427246
108,"""[0.872334]""",0.041708704084157944,0.8723344802856445,0.9385215044021606,"""[0.78031164]""",0.2102295607328415,0.7803121209144592,0.5038759708404541
109,"""[0.8746673]""",0.04250124469399452,0.874667763710022,0.9376218318939209,"""[0.76654583]""",0.21727797389030457,0.7665463089942932,0.4937984347343445
110,"""[0.87605107]""",0.042388688772916794,0.8760516047477722,0.9368720650672913,"""[0.7529828]""",0.22097939252853394,0.7529832720756531,0.48914727568626404
111,"""[0.8756298]""",0.0424276739358902,0.875630259513855,0.937471866607666,"""[0.746411]""",0.22384077310562134,0.7464115023612976,0.48372092843055725
112,"""[0.8757516]""",0.042729705572128296,0.8757520914077759,0.9385215044021606,"""[0.7334132]""",0.23160195350646973,0.7334137558937073,0.4713178277015686
113,"""[0.8773156]""",0.043743446469306946,0.8773161172866821,0.937171995639801,"""[0.7133671]""",0.24256055057048798,0.7133675813674927,0.43023255467414856
114,"""[0.88044953]""",0.04227500036358833,0.8804500699043274,0.9386714696884155,"""[0.70595646]""",0.2489660084247589,0.7059569358825684,0.43178293108940125
115,"""[0.8834177]""",0.04456445202231407,0.8834182024002075,0.9362723231315613,"""[0.7170726]""",0.24999168515205383,0.7170731425285339,0.4558139443397522
116,"""[0.8838192]""",0.04632962867617607,0.8838197588920593,0.9353725910186768,"""[0.71976]""",0.2549595832824707,0.7197604775428772,0.4658914804458618
117,"""[0.88488233]""",0.047564174979925156,0.8848828673362732,0.9347728490829468,"""[0.70998746]""",0.2697766423225403,0.7099879384040833,0.45736435055732727
118,"""[0.8823857]""",0.046966660767793655,0.8823861479759216,0.9382216334342957,"""[0.7093708]""",0.2820585370063782,0.7093712687492371,0.4635658860206604
119,"""[0.8791903]""",0.04850590601563454,0.8791908621788025,0.9319238066673279,"""[0.7010671]""",0.28773120045661926,0.7010676264762878,0.4581395387649536
120,"""[0.87892836]""",0.04628079757094383,0.8789288401603699,0.9350727200508118,"""[0.70095646]""",0.29310762882232666,0.7009569406509399,0.4542635679244995
121,"""[0.88088125]""",0.048416867852211,0.8808817267417908,0.9347728490829468,"""[0.69073355]""",0.30190640687942505,0.6907340288162231,0.4449612498283386
122,"""[0.8789365]""",0.046403467655181885,0.8789370059967041,0.9373219609260559,"""[0.6982092]""",0.30250284075737,0.6982097029685974,0.4232558012008667
123,"""[0.876503]""",0.043089814484119415,0.8765034675598145,0.9397211074829102,"""[0.6680157]""",0.33339831233024597,0.6680161952972412,0.38372093439102173
124,"""[0.87755626]""",0.043027281761169434,0.8775567412376404,0.9392712712287903,"""[0.64275813]""",0.3526134192943573,0.6427586078643799,0.36124029755592346
125,"""[0.8767463]""",0.04188959300518036,0.8767467737197876,0.9407707452774048,"""[0.62304354]""",0.3723032772541046,0.6230440735816956,0.3395348787307739
